keyword,tendency,weight,category,antonym,synonyms
실업급여 하한액 축소,보수,3,노동/복지,"최저 생계 위협, 사회 안전망 약화, 노동 약자 보호","근로 의욕 고취, 시럽급여 방지, 최저임금보다 높은 실업급여 하한액을 낮춰 도덕적 해이를 방지하자는 주장, 고용보험 재정 건전화"
의사 면허 취소법,진보,3,의료/법,"의료 공백 우려, 직업 선택의 자유 침해, 과잉 금지 원칙 위배","금고 이상 형 면허 박탈, 환자 안전법, 금고 이상의 형을 받은 의사의 면허를 취소하는 의료법 개정안, 의료인 면허 관리 강화"
학폭 기록 보존 강화,보수,3,교육,"낙인 찍기, 소송 남발 부작용, 유보통합, 이중 처벌","대입 반영 확대, 엄벌주의, 학교폭력 가해 기록의 보존 기간을 늘리고 대입에 의무적으로 반영하자는 정책, 학폭 근절"
수신료 분리 징수,보수,4,미디어,"언론 탄압, 방송 3법, 재원 불안정, 공영방송 위기","KBS 개혁, 시청자 선택권, 전기요금에 합산 청구되던 KBS 수신료를 분리하여 납부하도록 하는 정책, 강제 징수 폐지"
방송 3법,진보,4,미디어,"수신료 분리 징수, 노영방송 영구화, 편파 보도 심화, 방송 장악 의도","언론 독립, 공영방송 이사 추천 권한을 학계/시민단체 등으로 확대하는 법안, 정치적 후견주의 타파, 공영방송 지배구조 개선"
유보통합,중립,3,교육,"학폭 기록 보존 강화, 교육 질 하락, 졸속 추진 반대, 교사 자격 격차 우려","어린이집 유치원 통합, 유치원(교육부)과 어린이집(복지부)의 관리 체계를 일원화하는 정책, 영유아 교육 격차 해소, 교육 돌봄 국가 책임"
간호법 제정,진보,4,의료,"간호사 단독 개원 우려, 의료 직역 간 갈등, 의대 증원, 의료 체계 붕괴","PA 간호사 합법화, 간호 돌봄 강화, 간호사의 업무 범위와 처우 개선을 별도 법률로 규정하려는 시도, 숙련 간호사 확보"
이민청 설립,보수,3,행정/사회,"일자리 잠식, 단일 민족 정체성 훼손, 외국인 범죄 우려","저출산 고령화에 따른 노동력 부족 해결을 위해 이민 정책 전담 기구를 설치하자는 주장, 외국인 인력 활용, 컨트롤타워 구축, 인구 절벽 대응"
대통령 4년 중임제,진보,3,정치/개헌,"장기 집권 우려, 5년 단임제 고수, 제왕적 대통령제 유지, 제왕적 대통령제 타파","개헌 논의, 현행 5년 단임제를 4년 중임제로 바꿔 정책 연속성을 확보하자는 개헌 논의, 정책 연속성 보장, 책임 정치 구현"
국회의원 불체포특권 포기,보수,4,정치/개혁,"정치 탄압 방어권, 야당 탄압 수단, 헌법상 권리","국회의원이 회기 중 동의 없이 체포되지 않는 특권을 스스로 내려놓자는 주장, 방탄 국회 방지, 체포동의안 가결, 특권 내려놓기"
지구당 부활,중립,3,정치/정당,"지역 토호 유착, 금권 선거 부활, 고비용 정치 우려","원외 위원장 권한 강화, 정당 활동 자유, 풀뿌리 민주주의, 2004년 폐지된 국회의원 선거구 단위의 당원 협의회(지구당)를 다시 법적으로 허용하자는 논의"
특별감찰관 임명,보수,4,정치/반부패,"대통령실 자체 감찰, 공수처 기능 중복, 정치적 악용 우려","대통령 배우자 및 4촌 이내 친인척 비리를 감찰하는 특별감찰관을 조속히 임명하자는 주장, 청와대 감찰 강화, 대통령 친인척 비리 감시, 측근 비리 근절"
위성정당 방지법,진보,4,정치/선거,"정당 설립의 자유 침해, 오픈 프라이머리, 중대선거구제 도입, 선거 연대 불가, 소수 정당 기회 박탈","결선투표제 도입, 꼼수 정당 방지, 연동형 비례대표제 안착, 정치 개혁, 비례대표 정수 확대, 거대 양당이 비례대표 의석 확보를 위해 만드는 위성정당의 설립을 법으로 금지하자는 논의"
결선투표제 도입,진보,3,정치/선거,"오픈 프라이머리, 중대선거구제 도입, 당선자 확정 지연, 국정 공백 우려, 선거 비용 증가","2위 후보가 다시 투표하여 당선자를 가리는 제도, 대선 등에서 과반 득표자가 없을 경우 1, 다당제 정착, 대표성 강화, 위성정당 방지법, 비례대표 정수 확대, 사표 방지"
국회 세종의사당 건립,진보,3,정치/행정,"관습 헌법 위배(수도 이전), 행정 비효율, 예산 낭비","여의도 정치 청산, 국회 기능을 세종특별자치시로 이전하여 행정 비효율을 해소하고 균형 발전을 도모하자는 사업, 행정 수도 완성, 국가 균형 발전"
피선거권 연령 하향,진보,2,정치/참여,"학교의 정치장화, 포퓰리즘, 정치적 미성숙","세대 교체, 국회의원 및 지방선거 출마 가능 연령을 낮추어 청년층의 정치 진입 장벽을 낮추자는 논의, 청년 정치 참여 확대, 젊은 정치"
제왕적 대통령제 타파,중립,4,정치/개헌,"책임 소재 불분명, 식물 대통령 우려, 국정 운영 동력 약화, 대통령 4년 중임제","분권형 대통령제, 책임 총리제, 의원내각제 요소 도입, 대통령에게 과도하게 집중된 권한을 분산시켜 견제와 균형을 이루자는 개혁론"
오픈 프라이머리,보수,3,정치/선거,"결선투표제 도입, 정당 정체성 희석, 중대선거구제 도입, 조직 동원 선거, 역선택 우려, 위성정당 방지법, 비례대표 정수 확대","완전 국민 경선제, 밀실 공천 타파, 공천권 국민 환원, 정당의 후보 선출 과정에 일반 국민이 직접 참여하여 후보를 뽑는 제도"
국가보안법 폐지,진보,5,정치/안보,"안보 수호법, 체제 위협 세력 차단, 간첩 활동 방지, 국정원 대공수사권 복원","국가 안보를 이유로 사상과 표현의 자유를 침해하는 국가보안법을 폐지해야 한다는 주장, 악법 철폐, 전작권 조기 환수, 표현의 자유 보장, 사상 검증 중단"
여성 공천 할당제,진보,3,정치/젠더,"역차별, 남성 차별, 능력 중심 공천","선거 공천 과정에서 일정 비율 이상을 여성에게 의무적으로 할당하자는 제도, 남녀 동수법, 정치적 유리천장 깨기, 성평등 국회"
비례대표 정수 확대,진보,3,정치/선거,"의원 정수 축소, 오픈 프라이머리, 비례대표 폐지, 중대선거구제 도입, 밥그릇 지키기","결선투표제 도입, 다양한 계층의 목소리를 반영하기 위해 비례대표 국회의원 의석 수를 늘리자는 주장, 위성정당 방지법, 사표 방지, 다양성 확보, 소수 정당 원내 진입"
중대선거구제 도입,중립,4,정치/선거,"결선투표제 도입, 파벌 정치 심화, 오픈 프라이머리, 위성정당 방지법, 비례대표 정수 확대, 선거 비용 증가, 소선거구제 유지","한 선거구에서 2명 이상의 당선자를 뽑아 거대 양당 독점 구조를 깨자는 선거 제도 개혁, 지역주의 완화, 승자독식 타파, 다당제 기반"
교육감 러닝메이트제,보수,3,정치/교육,"교사 정치활동 보장, 헌법 정신 위배, 교육의 정치 예속화, 교육의 자주성 훼손","교육감 직선제 폐지, 행정 효율성, 시도지사-교육감 연대, 시도지사 선거 출마자가 교육감 후보와 짝을 이뤄 출마하도록 하여 정책 연계를 강화하자는 제도"
전작권 조기 환수,진보,4,정치/안보,"시기상조, 안보 공백, 한미동맹 약화 우려, 국정원 대공수사권 복원","전시작전통제권 전환, 군사 주권 회복, 전쟁 시 한국군을 지휘할 권한(전시작전통제권)을 미군으로부터 조기에 돌려받자는 주장, 자주 국방, 국가보안법 폐지"
모병제 도입,진보,3,정치/국방,"시기상조, 안보 공백, 흙수저 군대 우려, 여성 징병제","강제 징집 대신 자원 입대자로 군대를 구성하여 전문성을 높이자는 병역 제도 개편안, 군 인권 개선, 정예 강군, 징병제 폐지"
여성 징병제,중립,3,정치/국방,"신체적 차이 고려, 모병제 도입, 군사 효율성 저하, 젠더 갈등 조장","저출산으로 인한 병력 부족 해결과 양성평등 차원에서 여성도 병역 의무를 져야 한다는 논의, 병역 평등, 남녀 공동 복무, 인구 절벽 대응"
언론 징벌적 손해배상,진보,4,정치/언론,"언론 재갈 물리기, 권력 감시 약화, 표현의 자유 위축","가짜뉴스 처벌법, 언론 개혁, 허위 보도 책임 강화, 언론사가 고의적·악의적인 허위 보도를 할 경우 실제 손해액보다 훨씬 큰 배상금을 물리는 제도"
국정원 대공수사권 복원,보수,5,정치/안보,"과거사 회귀, 국정원 민간 사찰 우려, 전작권 조기 환수, 국가보안법 폐지, 경찰 이관 유지","경찰로 이관된 국가정보원의 대공수사권(간첩 수사 권한)을 다시 국정원으로 되돌려야 한다는 주장, 안보 수사권 강화, 간첩 수사 전문성, 대공 역량 강화"
검사 탄핵,진보,4,정치/사법,"보복성 탄핵, 검찰 길들이기, 사법 방해, 재판 지연 방지법","헌법 수호, 부패 검사 처벌, 비위 행위나 권한 남용이 의심되는 검사를 국회가 탄핵 소추하여 파면하려는 시도, 검찰 독재 견제"
시민단체 국고보조금 감사,보수,3,정치/사회,"시민 사회 탄압, 관변 단체 육성, 자율성 침해","시민단체에 지급되는 정부 보조금의 사용 내역을 전수 조사하고 부정 수급을 근절하자는 정책, 보조금 투명성, 이권 카르텔 혁파, 비영리 단체 회계 투명화"
노조 회계 투명성 강화,보수,4,정치/노동,"월권 행위, 노조 탄압, 노조 자주성 침해","노동 개혁, 깜깜이 회계 방지, 노동조합의 회계 장부 비치 및 내역 공개를 의무화하여 재정 투명성을 높이자는 정책, 노조 회계 공시"
교사 정치활동 보장,진보,3,정치/교육,"정치적 중립 의무 위반, 교육감 러닝메이트제, 교실의 정치화, 학습권 침해","공무원 정치 자유, 정치 기본권, 교사와 공무원이 근무 시간 외에 정당 가입이나 정치적 의사 표현을 할 수 있도록 허용하자는 주장, 참정권 확대"
재판 지연 방지법,보수,3,정치/사법,"졸속 재판 우려, 법관 독립 침해, 충실한 심리 저해, 검사 탄핵","법원이 정당한 이유 없이 재판을 지연시키는 것을 방지하기 위해 법관 평가나 처우와 연계하는 방안, 신속한 재판, 사법 정의 실현, 조희대 코트 개혁"
대통령 사면권 제한,진보,2,정치/법,"국민 통합 저해, 통치 행위 제한, 삼권 분립 위배","정치인 사면 반대, 법치주의 평등, 대통령의 고유 권한인 특별사면권을 제한하여 부패 정치인이나 경제인의 면죄부로 악용되는 것을 막자는 논의, 제왕적 권력 견제"
인사청문회 도덕성 검증 비공개,중립,2,정치/인사,"부적격자 통과 우려, 깜깜이 검증, 국민 알 권리 침해","정책 역량 검증만 공개하여 인재 기피 현상을 막자는 제안, 공직 후보자의 도덕성 검증은 비공개로 하고, 신상 털기 방지, 정책 검증 집중, 망신 주기 지양"
캠프 데이비드 선언,보수,4,외교,"부산 엑스포 유치 실패, 한미일 군사 동맹 반대, 중국 러시아 자극, 사도광산 유네스코 등재, 신냉전 가속화","글로벌 중추 국가 도약, 대만 해협 언급, 자유 진영 결속, 한미일 협력 제도화, 칩4 동맹, 북한 인권 결의안, 한미일 3국 정상이 안보·경제 협력을 강화하기로 합의한 선언에 대한 평가, 인도-태평양 전략"
대만 해협 언급,보수,3,외교,"대중 관계 파탄, 하나의 중국 원칙 존중, 부산 엑스포 유치 실패, 사도광산 유네스코 등재, 불필요한 자극","대만 문제에 대해 한국 정부가 국제 사회와 보조를 맞춰 목소리를 내는 것, 칩4 동맹, 보편적 가치 수호, 북한 인권 결의안, 글로벌 안보 기여, 힘에 의한 현상 변경 반대, 인도-태평양 전략, 캠프 데이비드 선언"
칩4 동맹,보수,3,외교,"중국 시장 포기, 부산 엑스포 유치 실패, 반도체 공급망 타격, 사도광산 유네스코 등재, 경제 안보 훼손","대만 해협 언급, 기술 동맹, 반도체 초격차, 북한 인권 결의안, 공급망 안정화, 미국 주도의 반도체 공급망 협의체 참여를 둘러싼 경제/외교적 득실 논쟁, 인도-태평양 전략, 캠프 데이비드 선언"
부산 엑스포 유치 실패,진보,3,외교,"캠프 데이비드 선언, 인도-태평양 전략, 칩4 동맹, 외교 지평 확대, 북한 인권 결의안, 민관 원팀 노력, 대만 해협 언급, 석패","희망 고문, 정보력 부재, 사도광산 유네스코 등재, 외교 참사, 2030 엑스포 유치 실패의 원인과 책임을 둘러싼 공방, 예산 낭비"
사도광산 유네스코 등재,진보,4,외교,"강제성 일부 인정, 대만 해협 언급, 외교적 타협, 칩4 동맹, 한일 관계 개선 성과, 북한 인권 결의안, 인도-태평양 전략, 캠프 데이비드 선언","부산 엑스포 유치 실패, 굴욕 외교, 일본 사도광산의 세계유산 등재 과정에서 한국 정부의 동의 여부에 대한 논란, 제2의 군함도, 강제 징용 역사 지우기"
자체 핵무장론,보수,4,안보,"한반도 비핵화 원칙, 경제 제재 우려, 여군 간부 확대, NPT 탈퇴 불가","공포의 균형, 북핵 위협에 대응해 한국도 독자적으로 핵무기를 보유해야 한다는 주장, 병사 월급 200만원, 한국형 핵잠수함, 대북 확성기 재개, 예비군 훈련 보상비 현실화, 자위적 핵무장, 국군방첩사령부(기무사) 강화, 사드 추가 배치, 핵 균형, 미국의 핵우산 불신"
병사 월급 200만원,보수,3,안보,"간부 처우 역전, 국방 예산 부담, 포퓰리즘, 여군 간부 확대","자체 핵무장론, 병영 처우 개선, 한국형 핵잠수함, 대북 확성기 재개, 예비군 훈련 보상비 현실화, 병사 월급을 최저임금 수준으로 대폭 인상하는 정책에 대한 재정적/형평성 논란, 국군방첩사령부(기무사) 강화, 사드 추가 배치, 애국 페이 근절, 청년 보상"
국군방첩사령부(기무사) 강화,보수,4,안보,"기무사 부활, 군사 정권 회귀, 민간인 사찰 우려, 여군 간부 확대","자체 핵무장론, 보안 역량 강화, 병사 월급 200만원, 한국형 핵잠수함, 대북 확성기 재개, 예비군 훈련 보상비 현실화, 군 기강 확립, 사드 추가 배치, 안보 공백 메우기, 과거 기무사를 개편한 방첩사의 권한과 기능을 다시 강화하려는 움직임"
여군 간부 확대,중립,2,안보,"자체 핵무장론, 준비 부족, 병사 월급 200만원, 한국형 핵잠수함, 대북 확성기 재개, 예비군 훈련 보상비 현실화, 국군방첩사령부(기무사) 강화, 사드 추가 배치, 보여주기식, 성폭력 문제 해결 우선","병력 감소 대책으로 여군 장교/부사관 선발 비율을 늘리자는 논의, 여성 인재 활용, 양성 평등 군대, 국방 인력 확보"
사드 추가 배치,보수,4,안보,"전자파 우려, 중국 경제 보복, 여군 간부 확대, 평화 위협","자체 핵무장론, 병사 월급 200만원, 한국형 핵잠수함, 대북 확성기 재개, 국민 생명 보호, 예비군 훈련 보상비 현실화, 주권적 결단, 국군방첩사령부(기무사) 강화, 미사일 방어 체계 완성, 주한미군의 고고도 미사일 방어체계(THAAD)를 추가로 배치하거나 기지를 정상화하는 문제"
검찰 특수활동비 공개,진보,4,사법/검찰,"수사 기밀 유출, 검찰 흠집내기, 압수수색 영장 사전 심문, 범죄 대응력 약화, 검찰 수사 심의위원회","깜깜이 예산, 대장동 50억 클럽 특검, 사실적시 명예훼손 폐지, 쌈짓돈 유용 의혹, 압수수색 영장 범위 제한, 검찰이 영수증 증빙 없이 사용하는 특수활동비 내역을 투명하게 공개하라는 요구, 국민 세금 검증, 경찰국 신설"
대장동 50억 클럽 특검,진보,4,사법/검찰,"압수수색 영장 사전 심문, 검찰 수사 심의위원회, 이재명 방탄용 물타기, 검찰 수사 진행 중, 정쟁 유발","대장동 개발 수익을 챙긴 의혹을 받는 법조계 고위 인사들에 대한 특검 도입, 검찰 특수활동비 공개, 사실적시 명예훼손 폐지, 성역 없는 특검, 압수수색 영장 범위 제한, 법조 카르텔 척결, 봐주기 수사, 경찰국 신설"
경찰국 신설,진보,4,사법/검찰,"압수수색 영장 사전 심문, 내무부 치안본부 부활, 검찰 수사 심의위원회, 정치적 중립 훼손, 경찰 장악 음모","대장동 50억 클럽 특검, 검찰 특수활동비 공개, 사실적시 명예훼손 폐지, 민주적 통제, 압수수색 영장 범위 제한, 행정안전부 장관의 지휘권, 행정안전부 내에 경찰 통제 조직(경찰국)을 만드는 것에 대한 찬반 논란, 경찰 비대화 견제"
압수수색 영장 사전 심문,보수,3,사법/검찰,"수사 밀행성 파괴, 대장동 50억 클럽 특검, 검찰 특수활동비 공개, 증거 인멸 기회 제공, 사실적시 명예훼손 폐지, 검찰 수사 심의위원회, 압수수색 영장 범위 제한, 범죄자 보호, 경찰국 신설","사법 통제 강화, 무분별한 압수수색 방지, 인권 보호, 판사가 영장을 발부하기 전에 피의자를 불러 심문하는 제도를 도입하려는 논의"
사실적시 명예훼손 폐지,진보,3,사법/검찰,"사생활 침해, 압수수색 영장 사전 심문, 검찰 수사 심의위원회, 인격 살인, 무분별한 폭로","사실을 말해도 타인의 명예를 훼손하면 처벌하는 법 조항을 폐지하자는 주장, 대장동 50억 클럽 특검, 진실 알 권리, 검찰 특수활동비 공개, 압수수색 영장 범위 제한, 미투 운동 위축 방지, 표현의 자유, 경찰국 신설"
외국인 가사도우미 최저임금 차등,보수,4,노동,"특수고용직 산재보험 적용, 노란봉투법, 공공기관 민영화(지분 매각), 플랫폼 종사자법, 정년 연장(계속 고용), 현대판 노예제, 공공부문 비정규직 제로, ILO 협약 위반, 국적 차별","저출산 대책, 직무급제 도입, 주 52시간제 유연화, 최저임금 차등적용, 타임오프제(근로시간 면제), 외국인 가사 근로자에게만 최저임금보다 낮은 임금을 적용하자는 논의, 돌봄 비용 절감, 현실적 임금 수준"
정년 연장(계속 고용),진보,3,노동,"주 52시간제 유연화, 최저임금 차등적용, 세대 갈등, 타임오프제(근로시간 면제), 기업 부담 가중, 청년 일자리 감소, 직무급제 도입","특수고용직 산재보험 적용, 노란봉투법, 공공기관 민영화(지분 매각), 숙련 인력 활용, 플랫폼 종사자법, 공공부문 비정규직 제로, 국민연금 수급 공백 해소, 노인 빈곤 해결, 법적 정년을 60세 이후로 늘리거나 퇴직 후 재고용을 의무화하는 논의"
공공기관 민영화(지분 매각),진보,4,노동,"주 52시간제 유연화, 최저임금 차등적용, 타임오프제(근로시간 면제), 공공성 파괴, 요금 폭등, 국부 유출, 직무급제 도입","특수고용직 산재보험 적용, 노란봉투법, 플랫폼 종사자법, 부채 감축, 정년 연장(계속 고용), 방만 경영 해소, 경영 효율화, 공공부문 비정규직 제로, 전력/철도/공항 등 공공기관의 지분을 민간에 매각하거나 운영을 위탁하는 정책"
타임오프제(근로시간 면제),보수,3,노동,"특수고용직 산재보험 적용, 노란봉투법, 공공기관 민영화(지분 매각), 플랫폼 종사자법, 정년 연장(계속 고용), 노조 전임자 특혜, 불법 지원 근절, 공공부문 비정규직 제로, 노조 개혁","외국인 가사도우미 최저임금 차등, 주 52시간제 유연화, 최저임금 차등적용, 노조 활동 보장, 노사 자율 침해, 국제 노동 기준, 회사가 노조 전임자의 월급을 주는 한도(타임오프)를 엄격하게 단속하려는 정책, 직무급제 도입"
특수고용직 산재보험 적용,진보,3,노동,"외국인 가사도우미 최저임금 차등, 주 52시간제 유연화, 최저임금 차등적용, 근로자성 논란, 사업주 부담 증가, 타임오프제(근로시간 면제), 보험 재정 악화, 직무급제 도입","전국민 고용보험, 노란봉투법, 공공기관 민영화(지분 매각), 정년 연장(계속 고용), 플랫폼 종사자법, 노동자 보호, 사각지대 해소, 배달 라이더, 공공부문 비정규직 제로, 택배 기사 등 플랫폼 노동자의 산재보험 가입을 의무화하는 정책"
사용후 핵연료 저장 시설,보수,3,환경,"4대강 보 해체, 그린워싱 규제 강화, 핵 폐기장 결사 반대, 기후 위기, 후쿠시마 오염수, 가덕도 신공항 건설, 안전성 미검증, 기후대응기금 삭감, 지역 희생 강요","댐 건설 재개, 일회용품 규제 유예, SMR(소형모듈원전) 개발, 전기차 보조금 개편, 미래 세대 책임, 원전 가동 중단 위기, 원전에서 나온 고준위 방사성 폐기물을 보관할 영구 처분장을 짓는 문제, 고준위 특별법 제정"
